label,sentence1,sentence2
facts,Islam members are constantly repeating that Islam is a 'religion of peace' more than other persons belonging to other religion do. I do not understand why Muslims need to repeat this thing so many times?,Maybe because people obviously haven't understood this and keep generalising a few extreme cases to the whole religion?
denouncing,It is obvious that this girl is at risk of FGM. Her parents are Muslims!,How can you say that about an entire faith?
facts,Muslims cannot add any value to our culture.,"Muslims have an excellent academic record, with many well-known Doctors and Professors."
support,Muslims have no place in civilised Europe.,"Europe is civilised, Muslims should not stay there."
denouncing,"You can say whatever you want, but one day Islam will be defeated and western society will be the winner. This will happen, because Islam cannot be part of the western society. Islam will not be considered anymore.",The only obstacle to Islam coexisting with Western culture is intolerance like this.
facts,Have Muslims ever made a contribution to our society?,"[insert picture of first/second world war Muslim soldiers, example The World's War, Forgotten Soldiers of Empire] they have fought and died for our country."
denouncing,Benefits and access to our national health service must be stopped for Muslims. We should ban them from the UK!,"Eradicating these pests' sounds like quite a dehumanising threat. Maybe we should stop your benefits, free housing, and national health service. It might be the only language you will understand, to stop you from being so discriminatory."
question,The vast majority of Muslims are unemployed and refuse to work.,"How do you know this? Do you have any proof, official papers?"
hypocrisy,"Koran is a book that should be burnt and mosques should be demolished. If we do all these things, all problems in our community will be solved.",Really? Cause it seems problems in this country are caused by hatred and intolerance.
unrelated,"Great Britain is not Great anymore, it is a shadow of its former self because of the cancer which is an islamic invasion.",Collect your greens. Store your greens. Harvest mustard seeds.
support,"It appears I cannot criticize islam for being a cult which encourages wars and takes over host nations by any means justified by their scriptures. Can I critisize them for being intolerant, biased, sexist and chauvinist?","It seems that I cannot define Islam as a cult which promote wars and conquers host nations and legitimate this by its scriptures. Can I define them as narrow-minded, prejudiced, sexist and male chauvinist?"
question,#saville town looks like a city of Afghanistan or Pakistan more than an English City. What do you think?,What is wrong with accepting and understanding people of different backgrounds?
facts,Everything will be better if Muslims did not exist. Their only contribution to our society is violence.,Many Muslims have engaged in protests to demonstrate their upset and disgust regarding the various grooming gangs scandals in the UK.
support,Muslims are the ones who invented the slave trade.,Muslims are the creators of slave trade.
facts,"Muslims, their texts as hate literature, and other manifestations of hate and genocide should be eradicated. We should have no tolerance towards this cult of hate! Imprison supporters of Islam, wake up Britain!","If you read Qu'ran, you would know that there is nothing about hate in it. Statements of hate nad genocide do not come from this religion, but from specific people who are armed military groups. Do not confuse criminals and common people!"
denouncing,"Koran is a book that should be burnt and mosques should be demolished. If we do all these things, all problems in our community will be solved.",That sounds a lot like terrorism to me.
unrelated,"Islam is not a peaceful religion and does not produce the best of men. It denounces women and encourages crimes. Criminals are not all of a certain race or religion, but one race and religion produces criminals.",Avoid traveling while pregnant as this increases the risk of diarrhea. Maintain good personal hygiene at all times. Ease into exercise routines slowly. See your doctor if the diarrhea persists.
support,The only ones in favour of Islam and Muslims and the ones that that are ignorant about what it truly is.,"If you support Islam and Muslims, it is because you do not know what they really are."
facts,There are no elements in common between islamic culture and ours. For this fact we must send Muslims to their homeland.,There seems to be a confusion between 'citizenship' and 'faith' - you cannot really dump a load of people on some faraway coast just because they share the same faith as the majority of the other people who live there.
humor,Is this Afghanistan or Pakistan? You would never say this is an english town.#saville town (text accompanying video footage of people on their way to friday prayers etc. ).,So these families came in to do cheap labour at textile mills in Saville and then made a life for themselves? Shocking! How could they?
denouncing,The Sunnan Abu Dawud says that if a man has sex with an animal there will be no punishment.,I feel like you are grasping at straws here with your hate speech.
hypocrisy,Muslims cannot add any value to our culture.,"It seems like you are saying this only because they are followers of Islam? If yes, this does not make any sense. They contribute to the society like any other individual is."
denouncing,All muslim women are stupid: we should not be influenced by them.,"Perhaps if you listened, you'd realise just how uninformed you sound."
unrelated,"Look around you, rape is jihad in the UK. I can remember days when Islam was not here, and now muslim rapists are everywhere.",Locate the alternator or serpentine belt. Look for cracks in the belt. Look for other signs of belt damage. Use a gauge to measure belt wear. Use a smartphone to measure belt wear.
support,"We aren't allowed to build churches in their countries, why should they be allowed to build Mosques in ours?","If I cannot go to their countries and build a church, why should they come to our countries and build mosques?"
humor,"If you support Islam and Muslims, it is because you do not know what they really are.",The only ones in favour of Brexit are the ones that are ignorant about what it truly is.
support,"Our government has allowed this islamic filth: machete attacks, women exploitation, gang rapes, killings. How dare they?","Our politicians has permitted to enter in our country this Muslim filthiness: assaults with the machete, women violation, gang sexual violences, murders. How have they the courage to do these things?"
facts,"We aren't allowed to build churches in their countries, why should they be allowed to build Mosques in ours?","Because we let people practise their religion here? Also, there a number of christian churches built in Pakistan so yes, we are allowed to build churches in Muslim countries too."
denouncing,I think is common sense to have prejudice about Islam. This isn't racism because Islam is a cult.,Ah logically and well argued. Not!
facts,Muslims use corporal and cruel punishment on people.,Violent verses in the qu'ran used by groups like isis to justify their evil atrocities have been cherry-picked without context and the qu'ran forbids cherry-picking as it is a holistic text.
humor,"Islam has nothing to do with western culture and as soon as the west will understand, this religion will be defeated.","Go on talking to yourself, no one will listen."
support,Now we are not even allowed to walk the dog for fear of offending the local Muslim population.,"We cannot take our dog for a walk, because a local Muslim can be offended by this action."
denouncing,Western societies are too civilised to welcome Muslims.,Maybe prejudice and xenophobia are incompatible with any Western society?
facts,Muslims do not have anything useful that can enrich our culture.,"The knowledge western society is built on was discovered by Islamic scholars, then colonists claimed it as their own. Our society would not be so developed without Muslim contributions to science, medicine, and many other fields."
facts,Is this Afghanistan or Pakistan? You would never say this is an english town.#saville town (text accompanying video footage of people on their way to friday prayers etc. ).,"They are here because we went there, took their wealth, food and industry and then invited them to come here to work in our factories, NHS and transport."
humor,Muslims in China were forced to eat pork and drink alcohol during the recent Chinese New Year celebration - At least China is doing it right!!,Being forced to eat my peas when I was a kid just made me hate them even more. Still cannot stomach the damn things.
hypocrisy,"The UK and us must fight Islam! Islam is intolerance, Quran, jihad, being gay, barbarism and so on. It is a disgusting cult!","You sound like Muslims are guilty in every problem of the modern society. Non-muslims are equally often intolerant and barbaric, and they suppress gay people as well."
support,99% of Muslims in the UK are unemployable and refuse to work.,Statistics say that 99% of muslims in the uk are so lazy that they do not want to work.
unrelated,"Muslims are a problem in my opinion. They do not want to assimilate. They demand that everyone shows respect for Islam, but do they respect our laws? They establish sharia laws and polygamy.",Smile and hold eye contact from across a room. Make light physical contact to show your interest. Contact him on a social network.
hypocrisy,"Islam is characterised by hate! When the first Muslim set foot in Britain, racism started in England!",So race hate started when Westerners could not tolerate other people who had different beliefs?
denouncing,"I support China, they forced Muslims to eat pork and drink alcohol. This is how you do it!",Doing it right'? I think you have got your moral compass upside down!
support,Using violence to punish another person? Sounds like a muslim issue.,Muslims use acts of violence to punish people.
facts,"Muslims follow a despicable religion! They are envious of our territories and want to take possession of them, spreading their religion! This does not respect our holy scriptures!","It's too early to guess the results of the next census, but all indications are that 'persons of no faith' are an increasing majority."
hypocrisy,Muslims in China were forced to eat pork and drink alcohol during the recent Chinese New Year celebration - At least China is doing it right!!,Aren't you expressing support for a form of torture? Whatever happened to 'British values'?
denouncing,The police and the government are defending muslim gangs and they must be considered as traitors of our society.,The only traitors are the conspiracy theorists who spread this kind of misinformation.
denouncing,"Muslims learned the corrupted skill of playing the part of the victim, accusing other culture for the violent doctrines that are expounded in their main books.","Stop and search disproportionately targets ethnic minorities, looks to me like institutional racism is fuelling this culture of hate."
denouncing,99% of Muslims in the UK are unemployable and refuse to work.,How can you say this about millions of people?
facts,"Muslims are staining the world, they are sexual maniacs with psychopathic tendencies. They use their religion as an excuse!","People have the right to belong to any religion they want. If you do not like their religion, it does not mean that they are bad!"
unrelated,"All versions of Islam have sharia law, thus, they are all extreme. Not all Muslims are engaged in actual violences, but every Muslim knows that jihad is the core of their religion, and they all support it.",Make sure the plant gets plenty of sunlight. Water the horseradish once or twice a week. Fertilize as needed. Prune suckers and weeds from the plant.
facts,It is obvious that this girl is at risk of FGM. Her parents are Muslims!,Mgm FGM have been in Britain for hundreds of years. It is never acceptable but it does not come from just one country or ideology.
unrelated,"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.",Switch up the variety of oil every couple days. Prepare the oil the night before. Make it part of a light exercise routine.
denouncing,Islam is just a nasty stain on humanity.,"Imho the stain is from those individuals who love to stereotype, discriminate and dehumanise groups of people."
facts,Muslims use acts of violence to punish people.,"Well, when the pope who represents 1.2 billion catholics and the grand imam, the highest seat in sunni islam, sing a joint declaration stating ''we resolutely declare that religions must never incite war, hateful attitudes, hostility and extremism, nor must they incite violence or the shedding of blood,"" i know who i will believe. Stop just listening to the news you want to believe."
denouncing,Islam is comparable to a disease to eliminate.,We would live in a much better world if intolerance was removed instead.
support,"Quite strange, the majority of Easter Eggs are being labelled 'Chocolate Eggs', I think this is because of the Muslims in our country, and the companies are betraying our culture.",It is strange how now the majority of 'Easter Eggs' are named 'Chocolate Eggs'. Maybe this change happened because of the Muslims in our country? The companies do not respect our culture!
denouncing,To solve all our problems it is enough to burn down mosques and the Koran.,Once you burn books you burn people. Has history taught you nothing?
denouncing,"If you support Islam and Muslims, it is because you do not know what they really are.",Maybe the ones intolerant of Islam and Muslims are the ones that are ignorant about what it truly is?
facts,Muslims have nothing to contribute to our society.,Muslims have contributed much to the UK due to their sterling educational achievements. More than half of Muslim schools in England surpass the national percentage GCSE average of 5 or more GCSE's or equivalent A*-C grades including English and Math GCSEs. This enables Muslims to work in important fields of Medicine and Law amongst others to enrich the lives of UK citizens.
facts,Isis Bride wants to return to the UK. Let her rot. A dog born in a stable is not a horse. Not BRITISH! Not BRITISH! Not BRITISH!,"A British dog born in a British stable is not a horse, but it's still British. We have obligations both 'to' and 'for' our Citizens, be they good or evil surely?"
unrelated,It is one law for Muslims and another law for us.,Open programs you commonly use. Open the Novabench website. Click Download for Free. Click Personal Use. Select your operating system. Install Novabench.
unrelated,"All Muslims should be deported, no one wants them here.",Sing a section of the melody. Use call and response training. “Noodle” around on your instrument to improve your ear.
facts,#saville town looks like a city of Afghanistan or Pakistan more than an English City. What do you think?,"They are here because we went there, took their wealth, food and industry and then invited them to come here to work in our factories, NHS and transport."
facts,"Islam is camouflaged as a religion, but it has extremist doctrines. This false religion is spreading in our country. This is enough!","It is no more totalitarian than any other religion. Only extremists using Islam for their own means enforce totalitarian principles. These aren't reflective of the majority of Muslims, even if the media tricks us into thinking so."
facts,"This came straight from an imam: they believe in everything that the Quran says, despite that these words and ideology are 1400 years old and dont belong to our century. This dreadful book is the root of all the world problems today.","My friend, like Quran, many ancient literatures in many cultures and religions are still worth reading. For example, The Bible and The Buddhist scriptures are read by all the world and translated to many languages."
facts,Islam is a just a repressive ideology that persecutes women and gay people.,"Many Muslims aren't homophobic and sexist, but like in any religion, some are. It is not the religion, its cultural and personal attitudes."
denouncing,The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!,The only traitors are the conspiracy theorists who spread this kind of misinformation.
support,"Only a few people were punished for yesterday's violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.","Muslims have committed a crime two days ago and yesterday the court did not punish all of them. All the common citizens should punish them properly, if the nation does not do anything to counter the violent Muslims."
support,Islam is all about hate! When Muslims first set foot in Britain was when race hate started in England!,"Islam is characterised by hate! When the first Muslim set foot in Britain, racism started in England!"
support,Muslims are the ones who invented the slave trade.,Muslims conceived the slave trade.
facts,"Go on talking to yourself, no one will listen. Islam does not belong within western society. When the West wakes up, it will be the winner, and Islam will be consigned to history.",Unless of course we are already awake and recognise that the winners are those of us that can embrace respect tolerance and merit.
humor,"All Muslims should be deported, no one wants them here.",By 'no one wants them here' do you mean just you specifically do not want them here?
unrelated,"Islam is not a religion, its just an excuse for retarded sexual psychopaths, bastards who pollute the world.",Choose a snail tank. Line the tank with substrate. Add features to the tank. Create the right climate.
support,"Thousands of British girls are raped, enslaved or murdered by Muslims and other non-British immigrants. Woe to thee!","We see thousands of rapes, murders and subjugations on British girls every day. Muslims and non-British immigrants do such things. But there will be consequences!"
question,We need to Burn the Koran and all the Mosques down - this will solve all problems in this country.,"Poverty, brexit, austerity, homelessness. Please enlighten me as to how banishing Islam would solve these problems?"
support,"Muslims, if they cannot assimilate, they should emigrate.","If they do not adapt to our culture, they can go away."
facts,"Muslims do not want to integrate, they want to impose sharia. And then they ask for respect! They are a problem!","Every religious person would like their religion to be respected, this is not only Muslim people. Secondly, I've never seen them demanding everyone's respect?"
facts,"People who criticize Islam and its traits in our country - rape gangs and terrorism - are being banned, but this will not end well. People are driven to the right - the only ones who can openly talk about it!","Right wing is earning popularity by blaming Muslims for crimes, but it does not mean that it is actually true."
facts,Muslims grooming gangs are protected by the government and the police. This is a betrayal!,"We need to work together to eradicate CSE once and for all. Individuals are the problem, it does not come from any religion, biased media attempting to scapegoat is being blind to the whole truth."
facts,Islam is a totalitarian doctrine dressed disguised as a religion so that it can spread across our tolerant Christian world. Enough IS ENOUGH!,"Islam is belief system that contributed to prominent scientific, political, and social innovations that ordered and improved the world."
facts,"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.","Isis is an extrem of Islam and does not represent Muslims' belief and action. Indeed, most of Islam condemned the action of ISIS."
humor,Never share a meal with a Muslim: you could catch HIV or Ebola.,"This person may be the only one able to supply you some bread so, appreciate it!"
question,Muslims need to oppose child rapists instead of talking about islam all the time. This way they would be a peaceful religion.,Have you thought about the consequence child rapists might cause?
denouncing,To solve all our problems it is enough to burn down mosques and the Koran.,It would not solve the hate and persecution that plagues these comments.
facts,"We must not believe the liberal and political elite. Islam is no good, its complete evil, and an ideology of war and it was always like this. All Muslims are bound to fight against us, and that is what they do through deception and violence.","There are criminals, who are from UK, raping children and murdering people. Maybe it's better we should first focus on these cases and think how we could decrease the number of crimes."
question,There is a war that involves us and the Muslims that is lasting for a thousand years.,Says who?
denouncing,In recent times was made a survey that says that a large part of britons believe that there is a 'fundamental conflict' between Islam and 'british traditions'.,"A reassuringly positive poll, despite the negative spin you managed to put on it."
hypocrisy,Using violence to punish another person? Sounds like a muslim issue.,I do not remember seeing many of the shootings in america being perpetrated by a muslim shooter.
hypocrisy,Muslims have nothing to contribute to our society.,Try running the NHS without them and other migrants!
denouncing,"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.","I agree that ISIS is an evil aberration, but to extend this to include up to 3 million people just in the UK is just plain silly."
facts,Islam is a just a repressive ideology that persecutes women and gay people.,Many faiths are changing to end inequality and persecution of women and gay people and each have people who resist that change. Islam is no better or worse.
humor,It is curious that almost all easter eggs are being labelled 'chocolate eggs'. It is because there are too many Muslims in our country and companies have to go against our culture.,Atheists like chocolate too!
facts,I do not really understand why I should listen to Muslim women. They are evidently dumb.,How about influential figures like Baroness Sayeeda Warsi? Or Harvard Fellow Hayfa Al-Kaylani? Should I list some more brilliantly smart Muslim women?
support,"Talking of shitholes, I have to go to Londonistan tomorrow #LondonHasFallen.",Muslims are invading London. There are more Muslims than Londoners in London. #londinistan #LondonHasFallen.
question,Shocking. 2 men are murdered in Paris by having their throats cut by some savage shouting 'Allahu Akbar' and the BBC ignore the story. Another cover up.,Is this true? Where is your source?
facts,"The world is already lost, but US and UK face challenges from Islam. These are death cult, intolerance, barbarism, freedom, free speech, being gay, quran, jihad.","The world is not lost. We all face challenges, but if someone's culture is different from ours, it does not mean that they are evil and should be banned."
humor,We need to Burn the Koran and all the Mosques down - this will solve all problems in this country.,"So that will solve poverty, homelessness, division and hatred, Brexit. I did not know these were all down to Muslims! Wow!"
question,Muslims should be taken away from our country because they aren't accepted by anyone.,Have you ever spoken to a mulsim?
facts,A girl that was sexually violated reported that her aggressor recited the Koran to excuse his crimes.,"That is a sad tragedy. However, the message from Quran is misunderstood. Instead, the message is 'if women do not cover themselves adequately with their outer garments, they may be abused - and that such abuse would be justified'."
facts,"They constantly say that their religion is a 'religion of peace', maybe because in reality it isn't.",Maybe because people obviously haven't understood this and keep generalising a few extreme cases to the whole religion?
denouncing,"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.","Could you mind your language? You are insulting millions of people who are Muslims. Isis are war criminals, but why are you equaling them with all Muslims?"
facts,Muslims use acts of violence to punish people.,A true follower of the quran is not allowed to initiate a war and even when a just war breaks out muslims are not allowed to kill innocent people.
denouncing,Islam is the greatest threat to Western civilisation.,I'd say the real threat is divisive comments like this.
facts,Repatriation of Muslims to any Islamic country is a necessity. Islamic culture is not compatible with our values.,"I am no expert but I do not see Islam as a single, mono-culture any more than Christianity is. Surely the 'successful' religions are those that adapt and adopt aspects of the 'local' cultures."
support,The British government has a goal to convert us to an Islamic state which will be the home for all Muslims and a prison for opposition.,The British politicians want to impose on all of us the Islamic religion and so create an Islamic country which will be the refuge of all Muslims and will not permit opposition.
