label,sentence1,sentence2
facts,"Si l'islam est une religion moderne, pourquoi est ce que tous les pays musulmans sont arriérés et/ou en guerre?","Arriéré? La femme a eu le droit de donné son avis politiquement parlant, de jouir de son salaire, divorcer depuis l'arrivée de l'islam. En France le droit de vote des femmes dates de 1945, divorcer par consentement mutuel 1792. 1907 les femmes ont droit de disposer de leurs salaires.encore d'autres dates?"
unrelated,L'islam déteste les chrétiens et les juifs.,Commencez par conditionner vos cheveux. Mouillez vos cheveux. Appliquez un protecteur de chaleur. Peignez une section de cheveux. Lissez vos cheveux. Continuez à lisser vos cheveux.
humor,Tous les musulmans sont des terroristes radicaux.,Et cyclistes.
denouncing,Les femmes voilées sont misérables et portent le voile contre leur volonté.,Ne pas parler/penser à la place des musulmans.
facts,"Musulmans, partez!",Les musulmans sont français.
denouncing,L'islamisation est nuisible.,Induire La peur et rien que la peur!
denouncing,Les femmes musulmanes sont toutes mères au foyer.,Stéréotype.
denouncing,L'islam nous envahira: c'est l'islamisation.,Les médias! Toujours les médias!
facts,Le voile islamique est la démonstration d'un islam politique.,Non. Pas du tout. La religion doit être decorrélées de la politique.
facts,Les femmes voilées sont misérables et portent le voile contre leur volonté.,C'est un devoir dans l'islam.
facts,Les musulmans ne sont pas tolérants envers les non-musulmans.,"Non, au contraire l'islam promeut l'amour de son prochain, musulman ou non. Humain tout simplement."
denouncing,Les musulmans ne changent pas.,Sérieux?
hypocrisy,Le voile représente l'humeur politique des musulmans.,"La chose qui vous dérange, c'est que les musulman.e.s ne rasent plus les murs et refusent de se cacher désormais."
facts,Les femmes voilées sont misérables et réprimées.,Les femmes voilées sont libres de se couvrir et de ne pas être un objet sexuel.
denouncing,L'islamisation est nuisible.,Encore une ânerie.
facts,Nous voyons de plus en plus un problème musulman.,"Le soucis est historique et il convient que chaque côté se réconcilie avec son histoire (civilisation islamique, reconquista, et jen passe)."
humor,L'islam et le terrorisme sont des synonymes.,Vous êtes pessimISTE.
facts,Les musulmans ne laissent pas les gens s'en prendre à cause du ramadan.,Copé est passé par là.
unrelated,Les musulmans empêchent les gens de manger pendant le ramadan.,Rédiger « Je suis reconnaissant ». Écrire « je vous remercie à l'avance ». Écrire « Merci monsieur » ou « Merci madame ». Écrire « encore merci ». Écrire « remerciement ».
denouncing,Les musulmans sont tous des terroristes fondamentalistes islamistes salafistes.,On ne comprend rien à vos amalgames.
denouncing,Les musulmans volent nos lieux de travail.,"Ce discours cible les immigrants d'une manière générale , mais pour être accepté avec le climat de haaaine contre les musulmans , il a changé le nom de la cible. Or parmi les immigrants orientaux à titre d'exemple, il y les chrétiens et les musulmans."
hypocrisy,Le voile islamique est la démonstration d'un islam politique.,Pas du tous c'est comme dire que ce lui qui porte une kippa et politique.
denouncing,L'islam ne partage pas nos valeurs républicaines.,"Non. Les discours discriminants à l'encontre d'une religion, si."
denouncing,Le voile islamique est un assaut pour nous.,C'est votre problème pas le mien!
humor,Tous les musulmans sont des terroristes radicaux.,"Affirmation tres recherchée, tu peux mieux faire."
facts,L'islam n'est pas pour notre république.,La majorité des musulmans sont des citoyens modèle. Certains peuvent être très orthodoxes comme dans toues les religions.
facts,"Musulmans, partez!","Comme toutes les religions, l'Islam est universel et n'a pas un pays spécifique."
facts,L'islam est barbare.,Certains souverains musulmans ont commis des actes de barbaries mais cela n'incombe que leur auteur et non l'islam.
facts,Je ne veux pas de musulmans dans notre pays.,L'islam est une religion et non une nationalité.
facts,Les musulmans détestent quiconque n'est pas musulman.,"L Islam signifie paix en arabe. Comment une religion avec un nom pareil peut vouloir discriminer une partie de gens qui parce qu elle n est pas musulman doit être détester encore. Une chose le premier lot du coran qui a été relevé c est ""lis"" il va falloir s y mettre au lieu de raconter des bêtises."
facts,Nous devrions bannir l'islam de notre pays.,"Il y a lieu de rappeler la définition de la laïcité, qui libère la liberté de conscience et non la restreint."
facts,Il y a trop de musulmans ici.,L'islam est une religion et les citoyens musulmans avant tout des citoyens français.
humor,Le voile islamique est une honte pour nous.,Il est possible de changer de trottoir en démocratie.
unrelated,Les musulmans nous volent notre travail.,Portez un masque. Portez des vêtements de protection. Portez des lunettes de protection.
facts,L'islam est la religion de l'obscurantisme.,"Vérifie tes sources! L'islam prône la liberté de religion comme dans le Coran 'nulle contrainte en religion', prône les valeurs de solidarité, de paix. Il a été une source de lumière pour l'humanité avec beaucoup de découvertes."
denouncing,Le voile islamique est une honte pour nous.,"Tu ne peux pas obliger les autres à tes propres choix , occupe toi de tes vêtements."
facts,"Les hommes musulmans sont cruels, les femmes musulmanes sont misérables.","Les femmes musulmanes sont soumises a leur Dieu et non a leurs Hommes, comme vous l'êtes par votre lois."
denouncing,"L'islam est une religion de guerre, nous devons tous le combattre.",Islamophobie deconplexee.
facts,Les musulmans sont tous des terroristes.,"Les musulmans dans leur grande majorité n aspirent qu à vivre en paix en vivant en adéquation avec les préceptes de l Islam,."
denouncing,L'islam nous envahira: c'est l'islamisation.,La jalousie envers une belle religion.
facts,Le voile représente l'humeur politique des musulmans.,Non ces le droit à chaque personne de s'habillier librement.
facts,"Musulmans, partez!",Francaise d'origine portugaise converti à l'islam.
denouncing,Ton voile est une agression contre moi.,"Permettez-moi de citer les paroles de Maître Gims: Si cela vous dérange, eh bien, c’est pareil"
facts,"L'islam est mauvais, nous devrions nous en débarrasser.",L'islam est une religion qui doit être respectée comme toutes les autres religions en France.
facts,Le voile islamique est la démonstration d'un islam politique.,C'est surtout un débat médiatisé.
question,Ton voile est une agression contre moi.,Pourquoi un bout de tissu est-il agressif?
facts,Les musulmans détestent quiconque n'est pas musulman.,C'est faux les musulmans ont vécus en parfaites cohésion avec. Les d'autres peuples qui avaient des religions différentes ils ont même accueillis des juifs à l'époque ont ils ont été persécutés.
denouncing,Musulmans: retournez dans votre pays.,Discours de quelqu'un qui ne s'ouvrent pas au monde.
humor,Les musulmans sont tous des terroristes fondamentalistes islamistes salafistes.,Vous êtes un fumiste.
denouncing,Le voile islamique est la démonstration d'un islam politique.,C'est une parole des extrémistes.
denouncing,Le voile islamique est un assaut pour nous.,"De même, votre attitude négative peut être considérée comme violente par les autres."
question,Le voile islamique est la démonstration d'un islam politique.,Avez vous des preuves de ce que vous avancez. Qui est donc le leader de cet islam politique?
facts,Les femmes voilées sont misérables et réprimées.,Elles sont libres de le porter ou pas.
facts,Le voile représente l'humeur politique des musulmans.,"Le voile est un vêtement comme un autre, la laïcité n'impose aucune manière de s'habiller mais prône le respect de chacun et protège la liberté de chacun dans ce choix."
denouncing,Le voile islamique est un assaut pour nous.,Représentation des choses faite par medias.
facts,"Les hommes musulmans sont violents, les femmes musulmanes sont soumises.",Les femmes sont très précieuses dans l'islam et elles sont portées à leurs juste valeur.
denouncing,L'islam n'est pas pour notre république.,Votre question sous-tend des idées malveillantes qui peuvent briser la cohésion citoyenne.
facts,L'islam pose beaucoup de problèmes à notre société.,Il n'y a qu'en France qu'il y a un problème avec les musulmans. Exemple en Angleterre il n'y en a pas de problème avec les musulmans.
facts,L'islam n'est pas pour notre république.,Les valeurs de république ne sont pas en opposition avec celles de l'islam. C'est faux.
unrelated,Le voile est contraire à la laïcité.,Entrainez-vous tout seul . Entrainez-vous en ligne. Regardez des films.
denouncing,"Musulmans, partez!",Vous contrevenez au respect de la laïcité.
denouncing,Tous les musulmans sont des terroristes radicaux.,Purs mensonges.
denouncing,Le voile dans l'Islam a une signification politique.,Ces votre vision des choses cela ne veut pas dire qu'en vous avez raison.
question,Je ne veux pas de musulmans dans notre pays.,Quel est le pays des musulmans? La musulmanie?
hypocrisy,L'islam est une religion incompatible avec les valeurs de la République.,Tous les jours l islam vous prouve le contraire.
denouncing,Les femmes voilées sont soumises et obligées de porter le foulard.,Ce n'est pas une déclaration factuelle.
hypocrisy,Nous voyons de plus en plus un problème musulman.,Vous voyez de plus en plus des atteintes au musulmans suite a des polémiques que vous orchestrée.
support,"""l'islamophobie"" c'est un moyen de nous retirer notre liberté d'expression.",Nous ne devrions pas nous décourager de l'islamophobie.
facts,Les femmes musulmanes sont toutes mères au foyer.,Femmes au foyers et un statue a par entière.
facts,L'islam n'est pas européen.,L'islam n'est pas une religion appartenant au moyen orient.
facts,L'islamisation est une menace.,Pas besoin d envahir pour s emanciper.
denouncing,Le voile islamique est un assaut pour nous.,Pas du tous le voile et une protection.
question,Les femmes voilées sont misérables et portent le voile contre leur volonté.,"Avez-vous demandé, au moins une fois, à une femme voilée, si elle a été obligé de porter le voile?"
denouncing,Soyons islamophobes et combattons l'islam.,On peut être islamophobe dans son fort intérieur mais on ne peut pas inciter les autres à cela.
facts,L'islam ne partage pas nos valeurs républicaines.,"Faux, la majorité de musulmans respecte les valeurs républicaines."
facts,Le voile islamique est la démonstration d'un islam politique.,Le port du voile islamique est un cheminement personnel et religieux il n y a rien de politique dans son port. Il n y a pas de revendications derrière.
hypocrisy,Les femmes voilées sont misérables et portent le voile contre leur volonté.,Intéresser vous à ceux que la femme voilé à dans la tête et non pas sure la tête.
facts,L'islamisation est nuisible.,L'islam compte certes beaucoup de fidèle mais là vous exagéré quelque peu.
facts,Le voile est contraire à la laïcité.,Révisez vos leçons de droits! La laïcité garantit la liberté de manifester sa religion à tous et donc le port du voile.
facts,Les femmes voilées sont misérables et portent le voile contre leur volonté.,"Le voile est une dévotion religieuse, comme les prières pour toutes les religions."
denouncing,Le voile dans l'Islam a une signification politique.,La démonstration ou les démonstrations il y a un s en trop et des lacunes en culture générale.
denouncing,Nous voyons de plus en plus un problème musulman.,Le vrai problème est que vous passiez votre temps à nous hahir.
humor,Tous les musulmans sont des terroristes radicaux.,On pourrait dire que vous avez un vocabulaire limité.
facts,Les femmes voilées sont soumises et obligées de porter le foulard.,Le port du voile est un choix pour la majorité des femmes.
facts,L'islamisation est une menace.,"Les convictions religieuses, philosophiques ou idéologiques ne connaissent pas de frontières car elles sont universelles."
facts,Nous devrions bannir l'islam de notre pays.,"La France est un pays laïc, oui. Au nom de cette laïcité, l'Etat français s'astreint à la neutralité quant aux libertés religieuses, qui d'ailleurs sont inscrites dans les libertés fondamentales. C'est la laïcité qui garantit et protège les convictions religieuses quelles qu'elles soient en France."
facts,Les femmes voilées sont misérables et portent le voile contre leur volonté.,En 50 ans je n'en ai jamais rencontré bien au contraire.
question,Ton voile est une agression contre moi.,Mon voile est synonyme de liberté en quoi il tagresse?
denouncing,Le voile dans l'Islam a une signification politique.,Vos arguments vont à l'encontre de la liberté de culte.
facts,Les femmes voilées sont misérables et portent le voile contre leur volonté.,Mais chaque être humain reste libre dans sa pratique.
hypocrisy,L'islam nous envahira: c'est l'islamisation.,10% de la population cest loin detre le grand remplacement.
denouncing,Les femmes voilées sont misérables et réprimées.,"Une généralisation bien étrange, apparemment vous n'avez pas encore rencontré mon épouse."
unrelated,L'islam déteste les chrétiens et les juifs.,Exprimez votre refus par le langage corporel. Soyez bref dans vos discussions. Cessez de communiquer. Larguez-le.
denouncing,Le voile islamique est un assaut pour nous.,Apprendre à connaître les autres.
facts,L'islam est une maladie qui devrait être guérie.,L'islam est une religion qui doit être respectée comme toutes les autres religions en France.
unrelated,Les musulmans sont tous des terroristes fondamentalistes islamistes salafistes.,Servez la sauce.
hypocrisy,Les femmes voilées sont soumises et obligées de porter le foulard.,La foi ne s'impose pas.
facts,Nous ne devrions pas laisser le voile sur nos filles.,"Ce sont nos filles, nous avons le choix de les éduquer comme nous le souhaitons."
facts,Les musulmans doivent partir.,Les musulmans devraient vivre librement comme tout le monde.
denouncing,L'islam et le terrorisme sont des synonymes.,C'est ce que les medias veulent faire penser.
denouncing,L'islamisation est une menace.,"Lorsque vous buvez de l'alcool, cela retourne à votre cerveau."
facts,Tous les musulmans sont des terroristes radicaux.,Ce sont là des attaques gratuites et injustifiées qui visent à stigmatiser une communauté.
denouncing,Le voile islamique est la démonstration d'un islam politique.,Pure idéologie islamophobe.
denouncing,Le voile dans l'Islam a une signification politique.,Islam politique? Association malfaitrice.
facts,Les musulmans détestent quiconque n'est pas musulman.,#islamophobie. Les musulmans ne sont pas une masse homogène et la misanthropie n'est pas propre aux musulmans.
denouncing,Le voile islamique est une honte pour nous.,"J en suis navrée, mais il te faut faire un travail sur soi."
facts,L'islam et le terrorisme sont des synonymes.,Votre réponse est trop manichéenne. On vit dans un monde de nuance. Peut etre y a t il une infime partie qui en fait partie tout comme l ira en irlande ou les farc en colombie ou d autres groupes chretiens africains en font partie. Ce n est pas le propre de l islam.
facts,Ton voile est une agression contre moi.,Tu n as nul besoin d adherer a mes convictions.
humor,L'islam et le terrorisme sont des synonymes.,Il y a trop de -istes dans votre tweet. C'est le nouveau vire langue des identitaires ?
hypocrisy,Les musulmans doivent se convertir ou quitter la France.,Et si on préconisait la même chose pour les français à l'étranger?
facts,L'islam nous envahira: c'est l'islamisation.,Ces propos nous rappelle une triste période de l'histoire.
facts,Les terroristes sont musulmans.,Il y a des extrémistes dans toutes religion. L'essentiel est de retenir que Dieu ne veut pas le meutre envers ces frères et soeurs en humanité.
facts,"Musulmans, partez!","Notre pays c'est la France! C'est ici que nous sommes nés, c'est ici que nous avons grandi, c'est ici que nous payons nos impôts et c'est ici que nous mourrons."
facts,Les musulmans empêchent les filles de porter des jupes.,"Le vêtement de la femme musulmane doit être ample, tout comme cela de l'homme c'est un signe de pudeur!"
hypocrisy,Je ne veux pas de musulmans dans notre pays.,Donc vous partez du postulat qu'ils viennent tous d'un seul pays.
facts,Le voile islamique est la démonstration d'un islam politique.,"L Islam n est pas une politique, c est une religion."
facts,L'islam pose beaucoup de problèmes à notre société.,Le rejet de l'islam est devenu un prétexte politique pour faire plaisir à une population française devenue racistes.
denouncing,Les femmes voilées sont misérables et portent le voile contre leur volonté.,"Une généralisation bien étrange, apparemment vous n'avez pas encore rencontré mon épouse."
facts,L'islam est une religion incompatible avec les valeurs de la République.,L'islam prône également l'égalité et la tolérance vis à vis des non musulmans.
denouncing,Ton voile est une agression contre moi.,"De même, votre attitude négative peut être considérée comme violente par les autres."
facts,Les femmes voilées sont misérables et portent le voile contre leur volonté.,"La femme voilée comme n'importe quel être humain est libre de protéger son corps comme elle le souhaite, elle n'a pas envie de plaire et encore moins de séduire pour pouvoir exister, elle veut être en paix avec sa conscience."
hypocrisy,Ton voile est une agression contre moi.,Cela revient à dire que votre coupe de cheveux est une attaque contre l’humanité.
denouncing,Le voile islamique est la démonstration d'un islam politique.,Récupération politique malsaine.
support,"Les hommes musulmans sont violents, les femmes musulmanes sont soumises.","Les hommes musulmans sont dangereux, les femmes musulmanes sont supprimées."
denouncing,L'islamisation est nuisible.,La peur de l'islam.
facts,Les musulmans ne sont pas tolérants envers les non-musulmans.,Le musulmans détestent les actes et non pas l Homme.
unrelated,Ton voile est une agression contre moi.,Définissez votre but et vos objectifs. Choisissez la date. Choisissez l'endroit. Définissez le nombre d'invités. Fixez-vous un budget. Formez une équipe. Créez un agenda.
facts,Les musulmans ne sont pas tolérants envers les non-musulmans.,"Regarder autour de vous, et si vous êtes honnête vous verrez que c'est faux."
facts,Le voile islamique est un assaut pour nous.,"Dans une république laïque, chacune et chacun se vêt selon ses convenances."
unrelated,Les musulmans sont tous violents.,Lavez-vous le visage tous les jours. Exfoliez-vous régulièrement le visage. Hydratez tous les jours votre visage.
hypocrisy,Les femmes voilées sont soumises et obligées de porter le foulard.,La soumission de la femme est ces propos tenu par des incultes.
facts,L'islamisation est nuisible.,Ces propos sont stigmasant et incitent à la peur et la haine.
question,Le voile représente l'humeur politique des musulmans.,N'êtes vous pas entrain de faire un procès d'intention?
denouncing,"Musulmans, partez!","Vous êtes d'un cynisme; et vous donc, retournez y dans votre pays."
facts,L'islam est une religion incompatible avec les valeurs de la République.,Les musulmans dans leurs majorités respectent les lois de la république.
support,Les musulmans sont tous pareils.,Les musulmans ne changent pas.
facts,L'islam n'est pas pour notre république.,L'islam est une religion de paix et de tolérance.
question,Les femmes voilées sont misérables et réprimées.,Demander leur directement!
humor,Tous les musulmans sont des terroristes radicaux.,Vous êtes pessimISTE.
denouncing,Le voile islamique est une honte pour nous.,Votre commentaire en revanche est agressif car il place votre bien être au-delà de ma liberté sans aucune justification.
hypocrisy,Les femmes voilées sont soumises et obligées de porter le foulard.,Intéresser vous à ceux que la femme voilé à dans la tête et non pas sure la tête.
question,L'islamisation est une menace.,Avez vous des statistiques sur la croissance de l'Islam?
unrelated,Les musulmans sont faibles d'esprit.,Trempez-vous les pieds. Exfoliez votre peau. Rincez-vous les pieds. Séchez-vous les pieds.
hypocrisy,Le voile islamique est un assaut pour nous.,Mon voile c'est mon choix pas le tien. Si tu le ressens comme une agression c'est toi qui a un problème.
facts,Les musulmans sont affreux.,"L islam encourage le bon comportement envers les voisins, lisez un peu."
facts,Les femmes voilées sont soumises et obligées de porter le foulard.,"En fait, il est obligatoire pour prier, car devant Dieu, il faut être couvert."
facts,Les musulmans profitent du système français.,L'islam prône la valeur de la subsistance obtenue par le fruit de son labeur.
facts,L'islam nous envahira: c'est l'islamisation.,Ces propos sont stigmasant et incitent à la peur et la haine.
hypocrisy,L'islam est une religion incompatible avec les valeurs de la République.,La France n'a pas à faire de commentaire sur la facon dont les musulmans pratique tant qu'ils respectent leur pays!
denouncing,L'islam et le terrorisme sont des synonymes.,Que de mensonges et de raccourcis.
facts,Le voile islamique est une honte pour nous.,Un vêtement porté par autrui peut vous gêner car vous n'y êtes pas habitué mais pas vous agresser. Cela n'a pas de sens.
denouncing,Les musulmans sont tous des terroristes fondamentalistes islamistes salafistes.,"Honnêtement, ce genre de commentaire ne mérite même pas de réponse."
denouncing,L'islam n'est pas pour notre république.,Ce n'est pas parce que certains médias et politiques le répètent qu'ils finiront par le faire croire.
facts,"L'islam est la religion de la guerre, il ne faut pas le laisser.","Guerre 14_18, guerre 39_45, soulignons la bravoure de ces musulmans morts pour la France."
facts,Les musulmans ne laissent pas leurs enfants manger pendant le ramadan.,Nous éduquons nos enfants pour qu'ils jeunent progressivement mais jamais forcer.
denouncing,Les femmes voilées sont soumises et obligées de porter le foulard.,Ne pas parler/penser à la place des musulmans.
humor,Les musulmans changent trop sur les marchés alimentaires.,Vous regardez trop bfmtv.
support,Les musulmans sont faibles d'esprit.,Les musulmans sont faibles.
hypocrisy,Ton voile est une agression contre moi.,Pas du tout c'est du savoir vivre et du respect envers chaque religion.
denouncing,Je ne veux pas de musulmans dans notre pays.,Propos de racistes!
hypocrisy,Je ne veux pas de musulmans dans notre pays.,"Je suis née en France, de parents Français, de grand-parents Français, d'arrière grands-parents Français. Je retourne où? En Gaulle?"
denouncing,Les femmes voilées sont misérables et portent le voile contre leur volonté.,L'ignorance est la pire des maladies.
facts,L'islam n'appartient pas à l'Europe.,"Comme toutes les religions, l'Islam est une religion universelle."
hypocrisy,Les musulmans sont tous des terroristes.,Ah mince ils sont tous pareils?
facts,Les femmes voilées sont soumises et obligées de porter le foulard.,Elles portent le voile parce qu'elle sont libre de le porter.
denouncing,Les musulmans n'évoluent pas.,Sérieux?
question,L'islam crée des problèmes pour notre société.,Quelle genre de problème?
facts,L'islam n'est pas pour notre république.,Faudrait déjà que la République est des valeurs. Comme par exemple respecter la religions des autres.
humor,Le voile islamique est une honte pour nous.,T'aime pas la couleur?
humor,L'islamisation est nuisible.,Est ce un pays?
hypocrisy,Les musulmans ne sont pas tolérants aux autres religions.,C'est d'ailleurs pour ça qu'ils sont des millions à venir vivre dans des pays où la majorité de la population n'est pas musulmane.
facts,L'islamisation est une menace.,C'est plutôt la laïcité détournée ou la mondialisation qui détruisent les religions et l'identités des peuples.
humor,L'islam n'est pas pour notre république.,Le fameux point godwin.
denouncing,Le voile islamique est la démonstration d'un islam politique.,Propagande mediatique.
facts,Les musulmans ne sont pas tolérants aux autres religions.,"L Islam signifie paix en arabe. Comment une religion avec un nom pareil peut vouloir discriminer une partie de gens qui parce qu elle n est pas musulman doit être détester encore. Une chose le premier lot du coran qui a été relevé c est ""lis"" il va falloir s y mettre au lieu de raconter des bêtises."
facts,L'islamisation est nuisible.,"Vous entretenez le concept du ""choc des civilisation"" afin de faire peur aux gens."
hypocrisy,Le voile islamique est un assaut pour nous.,Pas du tout c'est du savoir vivre et du respect envers chaque religion.
hypocrisy,Le voile islamique est la démonstration d'un islam politique.,Démonstration politique pour ceux qui se sentent agressés par ce bout de tissu sur la tête.
humor,L'islamisation est une menace.,Ça ne vous a pas encore atteint on dirait.
unrelated,"""l'islamophobie"" c'est les musulmans qui veulent empêcher le blasphème.",Choisissez les légumes que vous voulez y mettre. Lavez et séchez les légumes. Découpez les légumes en tranches fines. Préparez vos assaisonnements. Pensez aux protéines.
question,Les femmes voilées sont misérables et réprimées.,En quoi est-ce une soumission de cacher ses atours?
humor,Le voile islamique est un assaut pour nous.,"De même, votre culotte peut être inconfortable pour les autres."
facts,Musulmans: retournez dans votre pays.,"Vous ne le savez peut-être pas mais l'islam est une religion, pas une nationalité."
question,Ton voile est une agression contre moi.,Qu'en est-il des autres styles vestimentaires qui ne sont pas courants dans certaines cultures?
facts,Les musulmans sont tous des terroristes.,En islam il est strictement interdit de tuer ce cela reviendrait à tuer l'humanité tt entière ce qui est un péché très grave.
facts,Les musulmans nous volent notre travail.,Les musulmans sont des travailleurs et n'ont des voleurs.
facts,L'islamisation est nuisible.,"L'islam est en Europe depuis des siècles, le problème c'est l'extrême droite et ça a l'a toujours été."
facts,"""l'islamophobie"" c'est un moyen de nous retirer notre liberté d'expression.",L'islamophobie n'a rien a voir avec la liberté d'expression.
facts,Les femmes voilées sont misérables et réprimées.,L'obligation est d'ordre religieuse mais la femme peut choisir de ne pas le porter: c'est son choix et seul Dieu la jugera.
facts,Les musulmans détestent quiconque n'est pas musulman.,"Regarder autour de vous, et si vous êtes honnête vous verrez que c'est faux."
facts,Les terroristes sont musulmans.,"Un seul contre exemple suffit à prouver que tous les musulmans ne sont pas terroristes. Or il n'est pas difficile de trouver un (et même plusieurs) voisin, ami, collègue ou connaissance qui est à la fois musulman(e) et en même temps ""non-terroriste""."
humor,L'islam et le terrorisme sont des synonymes.,Et t'est jaloux.
denouncing,L'islam pose beaucoup de problèmes à notre société.,Erreur vous crée de plus en plus de problème contre les musulman.
denouncing,Les femmes voilées sont misérables et portent le voile contre leur volonté.,C'est une tentative de manipulation de l'opinion publique.
facts,L'islamisation est une menace.,Aucun autre pays ne se pose ce type de question!
facts,Les musulmans volent nos lieux de travail.,"Les musulmans postule pour un travail, il ne le vole pas."
